name,calories,protein,fat,carbohydrate,goal
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",184,29.85,7.12,0.2,Muscle Gain
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",203,28.99,9.48,0.36,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",139,20.36,6.42,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",152,20.87,7.67,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",137,21.1,5.89,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",129,21.69,4.0,0.0,Muscle Gain
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, large end (ribs 6-9), rib",253,27.53,15.0,0.0,Muscle Gain
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, arm, shoulder, domestic",200,27.71,9.02,0.0,Muscle Gain
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, bottom round roast, round",169,28.29,5.33,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",152,20.07,7.94,0.0,Muscle Gain
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, top sirloin",212,29.33,9.67,0.0,Muscle Gain
"Lamb, raw, separable lean and fat, shank off, chump off, tunnel-boned leg, imported, New Zealand",121,20.93,4.09,0.0,Muscle Gain
"MORNINGSTAR FARMS Breakfast Sandwich Veggie Scramble & Cheese English Muffin, unprepared, frozen",149,10.4,4.8,18.9,Weight Loss
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, blade roast, chuck",334,27.18,24.14,0.0,Muscle Gain
"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham with natural juices, cured",118,20.89,3.4,1.04,Muscle Gain
"Beverages, contains caffeine, with aspartame, other than cola or pepper, low calorie, carbonated",0,0.1,0.0,0.0,Weight Loss
"Beef, pan-fried, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top sirloin",313,28.77,21.06,0.0,Muscle Gain
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean only, arm, shoulder, domestic",279,35.54,14.08,0.0,Muscle Gain
"Lamb, fast fried, cooked, separable lean and fat, bone-in, leg chop/steak, imported, New Zealand",212,24.26,12.76,0.04,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",125,21.45,4.35,0.11,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",121,21.93,3.7,0.0,Muscle Gain
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean only, steak, top round, round",193,32.04,6.25,0.0,Muscle Gain
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",309,30.2,19.93,0.0,Muscle Gain
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",295,30.05,18.5,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, boneless separable lean and fat, eye of round steak, round",127,23.24,3.83,0.0,Muscle Gain
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, large end (ribs 6-9), rib",220,27.53,11.4,0.0,Muscle Gain
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, arm, shoulder, domestic",192,25.46,9.26,0.0,Muscle Gain
"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean only, steak, top round, round",177,31.61,4.65,0.0,Muscle Gain
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",192,19.06,12.4,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",222,19.79,15.42,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top round, round",238,34.34,10.13,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",131,21.19,5.18,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",122,21.05,4.2,0.0,Muscle Gain
"Beef, cooked, select, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts",167,27.51,6.37,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, flat half, brisket",213,32.9,8.01,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",137,20.28,6.21,0.0,Muscle Gain
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",215,27.97,11.47,0.0,Muscle Gain
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",199,27.88,9.77,0.0,Muscle Gain
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, foreshank, frozen, imported, New Zealand",223,18.04,16.15,0.0,Muscle Gain
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, foreshank, domestic",243,28.37,13.46,0.0,Muscle Gain
"Lamb, raw, separable lean only, composite of trimmed retail cuts, frozen, imported, New Zealand",128,20.75,4.41,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",139,21.94,5.74,0.0,Muscle Gain
"Milk, with added nonfat milk solids and vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",51,3.48,1.92,4.97,Weight Loss
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",139,22.15,5.54,0.08,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",165,20.64,8.55,0.0,Muscle Gain
"Fast foods, lettuce and tomato, steak and cheese on white bread with cheese, submarine sandwich",183,12.29,5.34,21.49,Weight Loss
"Pork, raw, with added solution, separable lean and fat, boneless, top loin (chops), loin, fresh",171,19.45,10.26,0.0,Muscle Gain
"Potatoes, oven heated, home-prepared, frozen, salt added in processing, all types, french fried",158,2.75,5.48,25.55,Weight Loss
"Lamb, braised, cooked, separable lean and fat, square-cut shoulder chops, imported, New Zealand",322,26.79,23.86,0.05,Muscle Gain
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, arm, shoulder, fresh, imported, Australian",137,19.88,5.81,0.0,Muscle Gain
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham with natural juices, cured",180,26.18,8.28,0.17,Muscle Gain
"Beef, broiled, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, top loin, short loin",310,25.92,22.12,0.0,Muscle Gain
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",178,29.42,5.84,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",154,21.85,7.41,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",212,18.47,15.26,0.17,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",198,19.14,13.44,0.23,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",121,23.59,2.94,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",254,19.33,19.06,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",150,20.74,6.85,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",137,20.98,5.21,0.0,Muscle Gain
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",207,25.7,10.84,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",139,21.94,5.74,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean only, flat half, brisket",196,33.15,6.0,0.0,Muscle Gain
"Potatoes, whole milk and margarine added, prepared from flakes without milk, dehydrated, mashed",113,1.9,5.6,15.02,Weight Loss
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder steak",169,28.71,5.17,0.0,Muscle Gain
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder steak",178,28.54,6.25,0.0,Muscle Gain
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, mock tender steak, chuck",161,25.74,5.69,0.0,Muscle Gain
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, mock tender steak, chuck",157,26.13,5.02,0.0,Muscle Gain
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, t-bone steak, short loin",177,26.0,7.36,0.0,Muscle Gain
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean only, t-bone steak, short loin",198,25.98,9.61,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, top loin, short loin",228,20.61,15.49,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",121,23.59,2.94,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, ribeye  petite roast/filet",138,22.52,5.29,0.18,Muscle Gain
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",318,27.33,22.35,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, whole, brisket",331,25.85,24.5,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",128,23.46,3.81,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",121,23.44,3.04,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",127,23.49,3.66,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",120,23.49,2.85,0.0,Muscle Gain
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, top blade, chuck",216,25.73,11.73,0.0,Muscle Gain
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",298,28.66,19.47,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",124,23.35,3.38,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",116,23.41,2.52,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",124,23.35,3.38,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",116,23.41,2.52,0.0,Muscle Gain
"Milk, with added vitamin A and vitamin D (fat free and skim), protein fortified, fluid, nonfat",41,3.96,0.25,5.56,Weight Loss
"Milk, vitamin A and vitamin D (fat free or skim), with added nonfat milk solids, fluid, nonfat",37,3.57,0.25,5.02,Weight Loss
"Potatoes, as purchased, frozen, salt added in processing, crinkle or regular cut, french fried",150,2.34,4.99,23.96,Weight Loss
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",200,29.04,8.39,0.0,Muscle Gain
"Beef, cooked, all grades, trimmed to 1/8"" fat, separable lean only, roast, bottom round, round",163,28.0,5.72,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, point half, brisket",244,28.05,13.8,0.0,Muscle Gain
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, arm pot roast, chuck",283,29.23,17.56,0.0,Muscle Gain
"Lamb, slow roasted, cooked, separable lean and fat, square-cut shoulder, imported, New Zealand",294,20.88,23.39,0.03,Muscle Gain
"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham and water product, cured",124,15.08,5.13,4.69,Muscle Gain
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",264,26.44,16.78,0.0,Muscle Gain
"Infant formula, with ARA and DHA, ready-to-feed, ADVANCE, ALIMENTUM, SIMILAC, ABBOTT NUTRITION",67,1.8,3.63,6.77,Weight Loss
"Pork, unheated, separable lean and fat, boneless, spiral slice, ham with natural juices, cured",129,18.66,5.75,1.18,Muscle Gain
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top sirloin",257,26.8,15.75,0.0,Muscle Gain
"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, steak, top sirloin",230,27.12,12.71,0.0,Muscle Gain
"Beverages, prepared with whole milk, powder, with added nutrients, chocolate, Malted drink mix",87,3.29,3.26,11.19,Weight Loss
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",208,20.12,14.14,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",241,18.69,18.43,0.2,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, eye of round, round",166,21.49,8.24,0.0,Muscle Gain
"Orange juice, with added calcium, diluted with 3 volume water, unsweetened, frozen concentrate",37,0.6,0.06,8.47,Weight Loss
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",359,26.37,27.26,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin roast, loin",144,21.91,6.21,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin roast, loin",153,21.5,7.4,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",153,21.61,7.41,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",171,20.89,9.76,0.0,Muscle Gain
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, roast, tip round, round",176,27.68,6.42,0.0,Muscle Gain
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, roast, tip round, round",149,27.37,4.38,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, top round, round",209,35.62,6.31,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",160,22.1,7.27,0.0,Muscle Gain
"Beef, pan-fried, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, top round, round",266,32.99,13.83,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",155,22.32,6.6,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",157,21.2,8.0,0.04,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",176,21.34,10.08,0.06,Muscle Gain
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, foreshank, fresh, imported, Australian",195,18.85,12.68,0.0,Muscle Gain
"Potatoes, whole milk and butter added, prepared from granules without milk, dehydrated, mashed",108,2.05,4.96,14.36,Weight Loss
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, bone-in, back ribs, rib",287,29.28,18.84,0.0,Muscle Gain
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, bone-in, back ribs, rib",306,27.75,21.72,0.0,Muscle Gain
"Beef, cooked, select, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",188,29.88,7.12,0.0,Muscle Gain
"Beef, cooked, choice, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",206,29.51,8.87,0.0,Muscle Gain
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",144,22.41,5.34,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, flat half, brisket",165,20.32,9.29,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 1/4"" fat, separable lean only, clod steak, chuck",189,29.34,7.04,0.0,Muscle Gain
"Beef, roasted, cooked, all grades, trimmed to 1/4"" fat, separable lean only, clod roast, chuck",173,26.36,6.75,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat , steak, tip side, knuckle, round",124,21.96,3.24,0.0,Muscle Gain
"Pork, roasted, heated, separable lean and fat, boneless, whole, ham with natural juices, cured",114,20.54,3.13,0.84,Muscle Gain
"Lamb, fast roasted, cooked, separable lean only, rack - partly frenched, imported, New Zealand",193,24.43,10.63,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",150,21.57,7.1,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), eye, rib",274,17.51,22.07,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",192,20.7,11.54,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",142,21.95,6.02,0.0,Muscle Gain
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",280,28.97,17.37,0.0,Muscle Gain
"Lamb, fast roasted, cooked, separable lean only, rack - fully frenched, imported, New Zealand",173,24.39,8.38,0.0,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, blade roast, chuck",253,31.06,13.3,0.0,Muscle Gain
"Beverages,,Gerolsteiner naturally sparkling mineral water, GEROLSTEINER BRUNNEN GmbH & Co. KG",0,0.0,0.0,0.0,Weight Loss
"Infant formula, with ARA and DHA, liquid concentrate, with iron, LIPIL, ENFAMIL, MEAD JOHNSON",131,2.76,6.96,14.34,Weight Loss
"Beverages, assorted fruit flavors, sweetened, bottles, Water with added vitamins and minerals",22,0.0,0.0,5.49,Weight Loss
"Infant Formula, not reconstituted, Liquid concentrate, Infant, Premium, ENFAMIL, MEAD JOHNSON",129,2.72,7.1,14.34,Weight Loss
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, steak, top sirloin",183,30.55,5.79,0.0,Muscle Gain
"Chicken, original seasoning, rotisserie, cooked, meat and skin, drumstick, broilers or fryers",215,26.86,11.98,0.02,Muscle Gain
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, flat half, brisket",205,33.26,6.99,0.0,Muscle Gain
"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham with natural juices, cured",191,22.88,10.93,0.33,Muscle Gain
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham and water product, cured",155,19.85,7.78,1.41,Muscle Gain
"Lamb, fast fried, cooked, separable lean only, bone-in, leg chop/steak, imported, New Zealand",162,26.31,6.35,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",143,20.35,6.88,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",133,20.39,5.73,0.0,Muscle Gain
"Lamb, raw, separable lean only, shank off, chump off, tunnel-boned leg, imported, New Zealand",121,20.93,4.09,0.0,Muscle Gain
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, ribeye filet",186,29.39,7.61,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",316,16.26,27.29,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",127,21.36,4.6,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",117,21.22,3.53,0.0,Muscle Gain
"Pork, raw, separable lean only, composite of trimmed retail cuts (leg, loin, shoulder), fresh",134,21.2,4.86,0.0,Muscle Gain
"USDA Commodity, solids and liquids, light syrup, canned, mixed fruit (peaches, pears, grapes)",55,0.41,0.08,14.3,Weight Loss
"Duck, roasted, cooked, bone in, meat and skin, leg, White Pekin, domesticated, young duckling",217,26.75,11.4,0.0,Muscle Gain
"Chickpeas (garbanzo beans, bengal gram), low sodium, solids and liquids, canned, mature seeds",88,4.92,1.95,13.49,Weight Loss
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts",147,22.01,6.05,0.0,Muscle Gain
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts",130,22.37,4.55,0.0,Muscle Gain
"Potatoes, oven-heated, frozen, salt added in processing, crinkle or regular cut, french fried",166,2.51,5.13,27.5,Weight Loss
"Pork, braised, cooked, separable lean and fat, blade (steaks), (Boston butt), shoulder, fresh",267,25.07,17.69,0.0,Muscle Gain
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",224,34.72,8.37,0.0,Muscle Gain
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",205,34.6,6.35,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",218,20.36,14.58,0.0,Muscle Gain
"Apple juice, and potassium, calcium, with added ascorbic acid, unsweetened, canned or bottled",48,0.12,0.17,11.49,Weight Loss
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",273,26.43,17.78,0.0,Muscle Gain
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",331,23.9,25.39,0.0,Muscle Gain
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",316,23.9,23.7,0.0,Muscle Gain
"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",262,26.48,16.53,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",133,21.41,4.66,0.0,Muscle Gain
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, ribeye filet",208,28.35,10.26,0.51,Muscle Gain
"Pork, pan-broiled, cooked, separable lean and fat, boneless, center loin (chops), loin, fresh",229,26.68,13.6,0.0,Muscle Gain
"Pork, pan-broil, heated, separable lean only, boneless, slice, ham with natural juices, cured",116,20.95,3.16,1.05,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",235,17.48,18.33,0.0,Muscle Gain
"Infant formula, with ARA and DHA, liquid concentrate, low iron, LIPIL, ENFAMIL, MEAD JOHNSON",131,2.76,7.16,14.24,Weight Loss
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, top sirloin",206,29.65,8.8,0.0,Muscle Gain
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, top sirloin",219,29.02,10.54,0.0,Muscle Gain
"Beverages, fortified with vitamin D2 and E, shelf-stable, unsweetened, chocolate almond milk",21,0.83,1.46,1.25,Weight Loss
"Potatoes, whole milk and butter added, prepared from flakes without milk, dehydrated, mashed",97,1.77,5.13,10.87,Weight Loss
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, flat half, brisket",205,33.59,6.77,0.0,Muscle Gain
"Pork, raw, with added solution, separable lean only, boneless, top loin (chops), loin, fresh",117,21.09,3.48,0.22,Muscle Gain
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, flat half, brisket",221,32.21,9.24,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin",223,20.11,15.18,0.0,Muscle Gain
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin",142,21.26,5.63,0.0,Muscle Gain
"Lamb, braised, cooked, separable lean only, square-cut shoulder chops, imported, New Zealand",255,31.06,14.56,0.0,Muscle Gain
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean only, foreshank, domestic",187,31.01,6.02,0.0,Muscle Gain
"Pork, pan-broil, heated, separable lean only, bone-in, slice, ham with natural juices, cured",150,27.75,4.38,0.0,Muscle Gain
"Cereals, without salt, microwaved, cooked with water, 2 1/2 minute cook time, CREAM OF WHEAT",52,1.88,0.37,10.1,Weight Loss
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",141,22.33,5.04,0.0,Muscle Gain
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, top round, round",225,34.6,8.54,0.0,Muscle Gain
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, top round, round",250,34.09,11.61,0.0,Muscle Gain
"Chicken, raw, with added solution, meat only, boneless, skinless, breast, broilers or fryers",108,20.32,3.0,0.0,Muscle Gain
"Infant formula, not reconstituted, liquid concentrate, with iron, GOOD START SUPREME, NESTLE",127,2.79,6.5,14.2,Weight Loss
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, whole, brisket",291,26.79,19.52,0.0,Muscle Gain
"Milk, without added vitamin A, with added nonfat milk solids, 2% milkfat, fluid, reduced fat",56,3.95,1.98,5.49,Weight Loss
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, clod roast, chuck",172,26.82,6.34,0.0,Muscle Gain
"Beef, broiled, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",308,25.26,22.21,0.0,Muscle Gain
"Beef, roasted, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",343,24.04,26.67,0.0,Muscle Gain
"Potatoes, unprepared, frozen, salt added in processing, shredded, hash brown, yellow fleshed",81,2.04,0.07,17.98,Weight Loss
"Pork, roasted, heated, separable lean and fat, boneless, whole, ham and water product, cured",123,13.88,5.46,4.61,Weight Loss
"Pork, roasted, heated, separable lean and fat, bone-in, rump, ham with natural juices, cured",177,22.47,9.39,0.6,Muscle Gain
"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham and water product, cured",234,18.17,17.29,1.42,Muscle Gain
"Lamb, slow roasted, cooked, separable lean only, square-cut shoulder, imported, New Zealand",192,25.08,10.13,0.0,Muscle Gain
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, clod roast, chuck",216,24.61,12.26,0.0,Muscle Gain
"Water, sweetened with low calorie sweetener, natural fruit flavors, bottles, non-carbonated",1,0.0,0.0,0.13,Weight Loss
"Beef, raw, select, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",142,22.46,5.78,0.0,Muscle Gain
"Soup, single brand, ready-to-serve, reduced sodium, reduced fat, chunky, split pea with ham",76,5.2,1.1,11.3,Weight Loss
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, sirloin half, leg, domestic",261,17.21,20.8,0.0,Muscle Gain
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",135,22.16,5.1,0.0,Muscle Gain
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",143,21.78,6.16,0.0,Muscle Gain
"Milk, with added vitamin A and vitamin D, protein fortified, 2% milkfat, fluid, reduced fat",56,3.95,1.98,5.49,Weight Loss
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",138,7.04,2.47,22.87,Weight Loss
